smurf_band,smurf_chan,smurf_freq,vna_freq,design_freq,index,mux_band,pad,mux_posn,biasline,pol,freq,det_row,det_col,rhomb,opt,det_x,det_y
4.0,34.0,4411.986,4411.986,4364.66642857143,40.0,2.0,28.0,27.0,10.0,B,90,10.0,10.0,C,1.0,-28.029978,-48.549346
4.0,98.0,4415.322,4415.322,4366.53714285714,41.0,2.0,32.0,27.0,10.0,B,90,10.0,8.0,C,1.0,-33.329978,-39.369476999999996
4.0,290.0,4418.846,4418.846,4368.407857142861,42.0,2.0,36.0,27.0,10.0,B,90,10.0,6.0,C,1.0,-38.629977999999994,-30.189607999999996
4.0,354.0,4419.644,4419.644,4370.278571428571,43.0,2.0,40.0,27.0,10.0,B,90,10.0,4.0,C,1.0,-43.929978,-21.009738999999996
4.0,18.0,4422.374,4422.374,4374.02,45.0,2.0,48.0,27.0,10.0,B,90,10.0,0.0,C,1.0,-54.52997799999999,-2.65
4.0,82.0,4424.362,4424.362,4375.890714285711,46.0,2.0,52.0,27.0,10.0,A,90,9.0,10.0,C,1.0,-22.729978,-48.549346
4.0,274.0,4425.814,4425.814,4377.761428571429,47.0,2.0,56.0,27.0,10.0,A,90,9.0,8.0,C,1.0,-28.029978,-39.369476999999996
4.0,338.0,4427.63,4427.63,4379.63214285714,48.0,2.0,60.0,27.0,10.0,A,90,9.0,6.0,C,1.0,-33.329978,-30.189607999999996
4.0,306.0,4436.0,4436.0,4385.225,50.0,2.0,2.0,27.0,10.0,A,90,11.0,10.0,C,1.0,-33.329978,-48.549346
4.0,370.0,4437.18,4437.18,4387.09571428572,51.0,2.0,6.0,27.0,10.0,A,90,11.0,8.0,C,1.0,-38.629977999999994,-39.369476999999996
4.0,434.0,4438.85,4438.85,4388.966428571429,52.0,2.0,10.0,27.0,10.0,A,90,11.0,6.0,C,1.0,-43.929978,-30.189607999999996
4.0,10.0,4439.844,4439.844,4390.83714285714,53.0,2.0,14.0,27.0,10.0,A,90,11.0,4.0,C,1.0,-49.229977999999996,-21.009738999999996
4.0,74.0,4441.384,4441.384,4394.578571428571,55.0,2.0,22.0,27.0,10.0,A,90,11.0,0.0,C,1.0,-59.829978,-2.65
4.0,138.0,4442.752,4442.752,4396.4492857142895,56.0,2.0,26.0,27.0,10.0,B,90,10.0,11.0,C,1.0,-25.379977999999998,-53.139281
4.0,266.0,4446.786,4446.786,4400.19071428572,58.0,2.0,34.0,27.0,10.0,B,90,10.0,7.0,C,1.0,-35.979977999999996,-34.779542
4.0,330.0,4448.892,4448.892,4402.061428571429,59.0,2.0,38.0,27.0,10.0,B,90,10.0,5.0,C,1.0,-41.27997799999999,-25.599673
4.0,42.0,4451.298,4451.298,4403.932142857139,60.0,2.0,42.0,27.0,10.0,B,90,10.0,3.0,C,1.0,-46.579978,-16.419804
4.0,106.0,4453.358,4453.358,4405.80285714286,61.0,2.0,46.0,27.0,10.0,B,90,10.0,1.0,C,1.0,-51.879977999999994,-7.239935
4.0,298.0,4455.606,4455.606,4407.6735714285705,62.0,2.0,50.0,27.0,10.0,A,90,9.0,11.0,C,1.0,-20.079978,-53.139281
4.0,362.0,4457.34,4457.34,4409.54428571429,63.0,2.0,54.0,27.0,10.0,A,90,9.0,9.0,C,1.0,-25.379977999999998,-43.959412
4.0,426.0,4458.608,4458.608,4411.415,64.0,2.0,58.0,27.0,10.0,A,90,9.0,7.0,C,1.0,-30.679978,-34.779542
4.0,26.0,4461.572,4461.572,4413.28571428572,65.0,2.0,62.0,27.0,10.0,A,90,9.0,5.0,C,1.0,-35.979977999999996,-25.599673
4.0,314.0,4474.254,4474.254,4421.156428571429,1.0,3.0,3.0,26.0,7.0,B,90,7.0,1.0,C,1.0,-35.979977999999996,-7.239935
4.0,378.0,4475.922,4475.922,4423.02714285714,2.0,3.0,7.0,26.0,7.0,A,90,6.0,11.0,C,1.0,-4.179978,-53.139281
4.0,442.0,4477.06,4477.06,4424.897857142861,3.0,3.0,11.0,26.0,7.0,A,90,6.0,9.0,C,1.0,-9.479978000000001,-43.959412
4.0,6.0,4479.372,4479.372,4426.768571428571,4.0,3.0,15.0,26.0,7.0,A,90,6.0,7.0,C,1.0,-14.779978000000002,-34.779542
4.0,70.0,4480.062,4480.062,4428.63928571429,5.0,3.0,19.0,26.0,7.0,A,90,6.0,5.0,C,1.0,-20.079978,-25.599673
4.0,134.0,4480.672,4480.672,4430.51,6.0,3.0,23.0,26.0,7.0,A,90,6.0,3.0,C,1.0,-25.379977999999998,-16.419804
4.0,262.0,4483.068,4483.068,4434.25142857143,8.0,3.0,31.0,26.0,7.0,D,D,6.0,0.0,C,0.0,14.74,-25.5304289
4.0,326.0,4486.306,4486.306,4436.12214285714,9.0,3.0,35.0,26.0,7.0,B,90,5.0,10.0,C,1.0,-1.5299779999999998,-48.549346
4.0,38.0,4487.976,4487.976,4437.99285714286,10.0,3.0,39.0,26.0,7.0,B,90,5.0,8.0,C,1.0,-6.829978,-39.369476999999996
4.0,102.0,4489.07,4489.07,4439.863571428571,11.0,3.0,43.0,26.0,7.0,B,90,5.0,6.0,C,1.0,-12.129978000000001,-30.189607999999996
4.0,166.0,4490.654,4490.654,4441.734285714289,12.0,3.0,47.0,26.0,7.0,B,90,5.0,4.0,C,1.0,-17.429978,-21.009738999999996
4.0,294.0,4493.994,4493.994,4443.605,13.0,3.0,51.0,26.0,7.0,B,90,5.0,2.0,C,1.0,-22.729978,-11.829868999999999
4.0,358.0,4495.89,4495.89,4445.47571428572,14.0,3.0,55.0,26.0,7.0,B,90,5.0,0.0,C,1.0,-28.029978,-2.65
5.0,89.0,4502.56,4502.56,4449.217142857139,16.0,3.0,63.0,26.0,7.0,A,90,4.0,8.0,C,1.0,-1.5299779999999998,-39.369476999999996
5.0,281.0,4506.034,4506.034,4452.939285714289,17.0,3.0,1.0,26.0,7.0,B,90,7.0,2.0,C,1.0,-33.329978,-11.829868999999999
5.0,345.0,4507.222,4507.222,4454.81,18.0,3.0,5.0,26.0,7.0,B,90,7.0,0.0,C,1.0,-38.629977999999994,-2.65
5.0,57.0,4509.458,4509.458,4456.680714285711,19.0,3.0,9.0,26.0,7.0,A,90,6.0,10.0,C,1.0,-6.829978,-48.549346
