Band,Index,UFM Frequency
11,36,5652424000.0
11,37,5654676000.0
11,38,5655912000.0
11,39,5657076000.0
11,40,5659836000.0
11,41,5660914000.0
11,42,5663024000.0
11,43,5665666000.0
11,44,5667802000.0
11,45,5669626000.0
11,46,5671564000.0
11,47,5672712000.0
11,48,5675624000.0
11,49,5678922000.0
11,50,5682098000.0
11,51,5683672000.0
11,52,5684576000.0
11,53,5686104000.0
11,54,5687854000.0
11,55,5689662000.0
11,56,5691146000.0
11,57,5693288000.0
11,58,5695176000.0
11,59,5697438000.0
11,60,5699718000.0
11,61,5701914000.0
11,62,5703484000.0
11,63,5705876000.0
11,64,5707896000.0
11,65,5711002000.0
12,0,5715400000.0
12,1,5716856000.0
12,3,5719138000.0
12,4,5720604000.0
12,5,5722330000.0
12,6,5723784000.0
12,7,5725400000.0
12,8,5727956000.0
12,9,5729164000.0
12,10,5731694000.0
12,11,5733690000.0
12,12,5735964000.0
12,13,5737150000.0
12,14,5738768000.0
12,15,5739850000.0
12,16,5741370000.0
12,17,5747180000.0
12,18,5749510000.0
12,19,5751054000.0
12,20,5752438000.0
12,22,5755404000.0
12,23,5757690000.0
12,24,5759420000.0
12,25,5761378000.0
12,26,5763130000.0
12,27,5765382000.0
12,28,5767912000.0
12,31,5772030000.0
12,32,5773746000.0
12,33,5780912000.0
12,34,5783098000.0
12,35,5785000000.0
12,37,5787920000.0
12,39,5792014000.0
12,40,5793458000.0
12,41,5795324000.0
12,42,5796918000.0
12,43,5799818000.0
12,46,5806472000.0
12,47,5807814000.0
12,48,5810074000.0
12,49,5812326000.0
12,50,5815202000.0
12,51,5817190000.0
12,52,5818610000.0
12,53,5820062000.0
12,54,5821844000.0
12,55,5824114000.0
12,56,5825642000.0
12,57,5827568000.0
12,58,5828852000.0
12,59,5830502000.0
12,60,5834100000.0
12,61,5836032000.0
12,62,5837834000.0
12,63,5840406000.0
12,64,5841878000.0
12,65,5844162000.0
13,1,5847104000.0
13,2,5848356000.0
13,3,5849774000.0
13,6,5854122000.0
13,7,5856676000.0
13,8,5858470000.0
13,9,5860976000.0
13,10,5862408000.0
13,11,5864524000.0
13,13,5867918000.0
13,15,5870960000.0
13,17,5879022000.0
13,18,5880394000.0
13,19,5882136000.0
13,22,5886534000.0
13,23,5888036000.0
13,24,5890364000.0
13,25,5892796000.0
13,26,5894000000.0
13,27,5896068000.0
13,31,5903180000.0
13,32,5904396000.0
13,34,5913756000.0
13,35,5914452000.0
13,36,5916432000.0
13,40,5922090000.0
13,41,5923524000.0
13,42,5925940000.0
13,43,5927928000.0
13,44,5930408000.0
13,48,5938056000.0
13,49,5939628000.0
13,50,5943338000.0
13,51,5948110000.0
13,52,5950224000.0
13,54,5952906000.0
13,56,5955840000.0
13,57,5957388000.0
13,58,5960210000.0
13,59,5962328000.0
13,60,5964248000.0
13,61,5966454000.0
13,62,5968532000.0
13,63,5970546000.0
13,64,5972296000.0
