Detector,x,y,z_avg,z_150GHz,z_90GHz
311,-20.079978,-53.139281,1.8715,1.812,1.931
312,-22.729978,-48.549346,1.8715,1.812,1.931
313,-25.379978,-43.959412,1.8715,1.812,1.931
314,-28.029978,-39.369477,1.8715,1.812,1.931
315,-30.679978,-34.779542,1.8715,1.812,1.931
316,-33.329978,-30.189608,1.8715,1.812,1.931
317,-35.979978,-25.599673,1.8715,1.812,1.931
318,-38.629978,-21.009739,1.8715,1.812,1.931
319,-41.279978,-16.419804,1.8715,1.812,1.931
320,-43.929978,-11.829869,1.8715,1.812,1.931
321,-46.579978,-7.239935,1.8715,1.812,1.931
322,-49.229978,-2.65,1.8715,1.812,1.931
323,-14.779978,-53.139281,1.8715,1.812,1.931
324,-17.429978,-48.549346,1.8715,1.812,1.931
325,-20.079978,-43.959412,1.8715,1.812,1.931
326,-22.729978,-39.369477,1.8715,1.812,1.931
327,-25.379978,-34.779542,1.8715,1.812,1.931
328,-28.029978,-30.189608,1.8715,1.812,1.931
329,-30.679978,-25.599673,1.8715,1.812,1.931
330,-33.329978,-21.009739,1.8715,1.812,1.931
331,-35.979978,-16.419804,1.8715,1.812,1.931
332,-38.629978,-11.829869,1.8715,1.812,1.931
333,-41.279978,-7.239935,1.8715,1.812,1.931
334,-43.929978,-2.65,1.8715,1.812,1.931
335,-9.479978,-53.139281,1.8715,1.812,1.931
336,-12.129978,-48.549346,1.8715,1.812,1.931
337,-14.779978,-43.959412,1.8715,1.812,1.931
338,-17.429978,-39.369477,1.8715,1.812,1.931
339,-20.079978,-34.779542,1.8715,1.812,1.931
340,-22.729978,-30.189608,1.8715,1.812,1.931
341,-25.379978,-25.599673,1.8715,1.812,1.931
342,-28.029978,-21.009739,1.8715,1.812,1.931
343,-30.679978,-16.419804,1.8715,1.812,1.931
344,-33.329978,-11.829869,1.8715,1.812,1.931
345,-35.979978,-7.239935,1.8715,1.812,1.931
346,-38.629978,-2.65,1.8715,1.812,1.931
347,-4.179978,-53.139281,1.8715,1.812,1.931
348,-6.829978,-48.549346,1.8715,1.812,1.931
349,-9.479978,-43.959412,1.8715,1.812,1.931
350,-12.129978,-39.369477,1.8715,1.812,1.931
351,-14.779978,-34.779542,1.8715,1.812,1.931
352,-17.429978,-30.189608,1.8715,1.812,1.931
353,-20.079978,-25.599673,1.8715,1.812,1.931
354,-22.729978,-21.009739,1.8715,1.812,1.931
355,-25.379978,-16.419804,1.8715,1.812,1.931
