Edge,Index,Detector wafer bond pad,DCXpos,DCypos,DTGrouptype,DTGroupindex,DTGoupsection,DTPadlabel,DTPadxpos,DTPadypos,DTPixelrow,DTPixelcolumn,DTPixelsection,DTPixelxcenter,DTPixelycenter,DTRawangle,DTActualangle,DTSignaldescription,BiasName,Bias line,SQUID,SQUID_PIN,Mux chip position,x,y
XBR,XBR250,125,49662.79,24650.03,RowPad,6,B,T11+,51490.458,25624.407,6,11,B,48109.956,22949.673,112.5,112.5,90ghz,URNY_B2,3,SQ_13,SQ_13_Ch_61_+,10,48109.956,22949.673
XBR,XBR300,150,47012.79,29239.97,RowPad,5,B,T11+,48840.458,30214.342,5,11,B,45459.956,27539.608,157.5,157.5,90ghz,URNY_B1,0,SQ_09,SQ_09_Ch_22_+,9,45459.956,27539.608
XBR,XBR350,175,44362.79,33829.9,RowPad,4,B,T11+,46190.458,34804.276,4,11,B,42809.956,32129.542,112.5,112.5,90ghz,URNY_B2,3,SQ_09,SQ_09_Ch_47_+,9,42809.956,32129.542
XBR,XBR400,200,41712.79,38419.83,RowPad,3,B,T11+,43540.458,39394.211,3,11,B,40159.956,36719.477,157.5,157.5,90ghz,URNY_B1,0,SQ_08,SQ_08_Ch_8_+,8,40159.956,36719.477
XBR,XBR450,225,39062.79,43009.77,RowPad,2,B,T11+,40890.458,43984.146,2,11,B,37509.956,41309.412,112.5,112.5,90ghz,URNY_B2,3,SQ_08,SQ_08_Ch_33_+,8,37509.956,41309.412
XBR,XBR500,250,36412.79,47599.7,RowPad,1,B,T11+,38240.458,48574.08,1,11,B,34859.956,45899.346,157.5,157.5,90ghz,URNY_B1,0,SQ_08,SQ_08_Ch_58_+,8,34859.956,45899.346
XBR,XBR550,275,33952.79,51860.55,RowPad,0,B,T11+,35780.458,52834.925,0,11,B,32209.956,50489.281,112.5,112.5,90ghz,URNY_B2,3,SQ_05,SQ_05_Ch_39_+,3,32209.956,50489.281
XCR,XCR000,0,-29983.84,-55334.25,RowPad,11,C,T11+,-30053.842,-57404.248,11,11,C,-30679.978,-53139.281,157.5,37.5,90ghz,LNY_B1,10,SQ_25,SQ_25_Ch_0_+,27,-30679.978,-53139.281
XCR,XCR050,25,-24683.84,-55334.25,RowPad,10,C,T11+,-24753.842,-57404.248,10,11,C,-25379.978,-53139.281,112.5,-7.5,90ghz,LNY_B2,7,SQ_25,SQ_25_Ch_25_+,27,-25379.978,-53139.281
XCR,XCR100,50,-19383.84,-55334.25,RowPad,9,C,T11+,-19453.842,-57404.248,9,11,C,-20079.978,-53139.281,157.5,37.5,90ghz,LNY_B1,10,SQ_25,SQ_25_Ch_50_+,27,-20079.978,-53139.281
XCR,XCR150,75,-14083.84,-55334.25,RowPad,8,C,T11+,-14153.842,-57404.248,8,11,C,-14779.978,-53139.281,112.5,-7.5,90ghz,LNY_B2,7,SQ_22,SQ_22_Ch_11_+,22,-14779.978,-53139.281
XCR,XCR200,100,-8783.84,-55334.25,RowPad,7,C,T11+,-8853.842,-57404.248,7,11,C,-9479.978,-53139.281,157.5,37.5,90ghz,LNY_B1,10,SQ_23,SQ_23_Ch_46_+,23,-9479.978,-53139.281
XCR,XCR250,125,-3483.84,-55334.25,RowPad,6,C,T11+,-3553.842,-57404.248,6,11,C,-4179.978,-53139.281,112.5,-7.5,90ghz,LNY_B2,7,SQ_26,SQ_26_Ch_7_+,26,-4179.978,-53139.281
XCR,XCR300,150,1816.16,-55334.25,RowPad,5,C,T11+,1746.158,-57404.248,5,11,C,1120.022,-53139.281,157.5,37.5,90ghz,LNY_B1,10,SQ_26,SQ_26_Ch_32_+,26,1120.022,-53139.281
XCR,XCR350,175,7116.16,-55334.25,RowPad,4,C,T11+,7046.158,-57404.248,4,11,C,6420.022,-53139.281,112.5,-7.5,90ghz,LNY_B2,7,SQ_26,SQ_26_Ch_57_+,26,6420.022,-53139.281
XCR,XCR400,200,12416.16,-55334.25,RowPad,3,C,T11+,12346.158,-57404.248,3,11,C,11720.022,-53139.281,157.5,37.5,90ghz,LNY_B1,10,SQ_23,SQ_23_Ch_18_+,23,11720.022,-53139.281
